,natural_gas_price_euro_mwh_obs,coal_price_euro_mwh_obs,co2_price_euro_t_obs,ro_coal_capa_available_MW_obs,ro_gas_capa_available_MW_obs,ro_day_ahead_price_euro_mwh_obs,ro_nuclear_capa_available_MW_obs
2020-01-01 00:00:00+00:00,12.438,,,938.0,3259.1,30.4,
2020-01-01 01:00:00+00:00,,,,938.0,3259.1,28.53,
2020-01-01 02:00:00+00:00,,,,938.0,3259.1,27.37,
2020-01-01 03:00:00+00:00,,,,938.0,3259.1,26.38,
2020-01-01 04:00:00+00:00,,,,938.0,3259.1,26.5,
2020-01-01 05:00:00+00:00,,,,938.0,3259.1,27.01,
2020-01-01 06:00:00+00:00,,,,938.0,3259.1,27.4,
2020-01-01 07:00:00+00:00,,,,938.0,3259.1,27.99,
2020-01-01 08:00:00+00:00,,,,938.0,3259.1,27.71,
2020-01-01 09:00:00+00:00,,,,938.0,3259.1,23.6,
2020-01-01 10:00:00+00:00,,,,938.0,3259.1,18.21,
2020-01-01 11:00:00+00:00,,,,938.0,3259.1,12.77,
2020-01-01 12:00:00+00:00,,,,938.0,3259.1,14.23,
2020-01-01 13:00:00+00:00,,,,938.0,3259.1,18.21,
2020-01-01 14:00:00+00:00,,,,938.0,3259.1,27.97,
2020-01-01 15:00:00+00:00,,,,938.0,3259.1,38.11,
2020-01-01 16:00:00+00:00,,,,938.0,3259.1,41.24,
2020-01-01 17:00:00+00:00,,,,938.0,3259.1,42.66,
2020-01-01 18:00:00+00:00,,,,938.0,3259.1,42.08,
2020-01-01 19:00:00+00:00,,,,938.0,3259.1,39.51,
2020-01-01 20:00:00+00:00,,,,938.0,3259.1,37.5,
2020-01-01 21:00:00+00:00,,,,938.0,3259.1,35.6,
2020-01-01 22:00:00+00:00,,,,938.0,3259.1,31.6,
2020-01-01 23:00:00+00:00,,,,938.0,3259.1,32.01,
2020-01-02 00:00:00+00:00,12.496,6.572857142857143,24.24,938.0,3259.1,31.5,
